0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
18:20:32,49.7,76.3,54.6,73.4,56.3,72.3,57.6,72.0,56.7,72.7,53.6,74.1,52.7,74.1,56.5,72.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:20:39,49.7,76.3,54.7,73.4,56.2,72.3,57.6,72.0,56.7,72.9,53.6,74.1,52.7,74.1,56.5,72.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:21:05,49.7,76.3,54.7,73.4,56.2,72.3,57.6,72.0,56.7,72.9,53.6,74.1,52.7,74.1,56.5,72.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:21:09,49.7,76.3,54.6,73.4,56.2,72.3,57.5,71.8,56.7,72.9,53.7,74.1,52.7,74.3,56.5,72.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:21:35,49.7,76.3,54.6,73.4,56.2,72.3,57.5,71.8,56.7,72.9,53.7,74.1,52.7,74.3,56.5,72.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:21:39,49.9,76.3,54.7,73.4,56.2,72.3,57.5,72.0,56.7,72.9,53.8,74.1,52.7,74.3,56.5,72.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:22:00,49.9,76.3,54.7,73.4,56.2,72.3,57.5,72.0,56.7,72.9,53.8,74.1,52.7,74.3,56.5,72.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:22:09,49.8,76.3,54.7,73.4,56.2,72.3,57.4,71.6,56.7,72.9,53.8,74.1,52.7,74.3,56.5,72.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:22:17,49.8,76.3,54.7,73.4,56.2,72.3,57.4,71.6,56.7,72.9,53.8,74.1,52.7,74.3,56.5,72.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:22:32,49.7,76.3,54.6,73.4,56.2,72.3,57.4,71.8,56.6,72.9,53.8,74.1,52.7,74.3,56.5,72.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:22:39,49.8,76.3,54.6,73.4,56.2,72.3,57.4,72.0,56.6,72.9,53.8,74.3,52.8,74.3,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:22:49,49.8,76.3,54.6,73.4,56.2,72.3,57.4,72.0,56.6,72.9,53.8,74.3,52.8,74.3,56.5,72.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
